Id_gracza;Imie;Nazwisko
1;Jędrzej;Hadała
2;Monika;Capała
3;Kalina;Jędrusiak
4;Robert;Skalik
5;Aleksander;Steckiewicz
6;Fabian;Banyś
7;Kamil;Wojtasiewicz
8;Cezary;Sadlik
9;Ida;Smalec
10;Mateusz;Wojtyna
11;Sandra;Gabryel
12;Sonia;Oczko
13;Patryk;Gotfryd
14;Julianna;Gorzelańczyk
15;Melania;Halama
16;Aniela;Kawala
17;Kornel;Mieloch
18;Gaja;Supeł
19;Anna Maria;Boba
20;Ewa;Mućko
21;Apolonia;Jeżyk
22;Tola;Fechner
23;Julianna;Wocial
24;Alan;Poleszak
25;Rozalia;Sojda
26;Sandra;Dargacz
27;Mariusz;Makoś
28;Ernest;Skrobek
29;Tymoteusz;Stryjek
30;Mikołaj;Żelazek
31;Monika;Keler
32;Sara;Staniaszek
33;Igor;Otremba
34;Nataniel;Koral
35;Eliza;Żmija
36;Angelika;Szulim
37;Adrian;Baka
38;Elżbieta;Haponiuk
39;Marianna;Kozdrój
40;Marianna;Szatko
41;Iwo;Marciniszyn
42;Witold;Darul
43;Emil;Sorbian
44;Grzegorz;Józefczak
45;Ewa;Muniak
46;Eliza;Boguta
47;Krystyna;Budzeń
48;Bianka;Krüger
49;Marcel;Wereda
50;Julianna;Krępa
51;Agnieszka;Świerszcz
52;Marianna;Krzyżostaniak
53;Kornelia;Drozda
54;Marika;Drozda
55;Fryderyk;Bork
56;Cyprian;Olszyna
57;Kornel;Gryszkiewicz
58;Antoni;Poniedziałek
59;Klara;Smolka
60;Piotr;Noculak
61;Oskar;Ziarek
62;Dawid;Wikło
63;Borys;Doroz
64;Tola;Fołta
65;Andrzej;Kostorz
66;Karina;Otremba
67;Sylwia;Wasyluk
68;Kaja;Chachaj
69;Malwina;Wudarczyk
70;Blanka;Kacperczyk
71;Adrian;Kacperek
72;Natasza;Rogula
73;Janina;Krauz
74;Kajetan;Truchel
75;Dagmara;Judek
76;Monika;Piestrzeniewicz
77;Błażej;Młot
78;Marianna;Skup
79;Olaf;Iciek
80;Patryk;Madura
81;Olga;Litwińczuk
82;Karina;Karsznia
83;Karina;Noculak
84;Urszula;Łasak
85;Apolonia;Kutera
86;Tola;Szelest
87;Liwia;Kubrak
88;Juliusz;Dycha
89;Lidia;Kapciak
90;Blanka;Niedośpiał
91;Nataniel;Rembacz
92;Olaf;Foit
93;Konstanty;Wiencek
94;Marika;Sajda
95;Blanka;Reiter
96;Cezary;Niedźwiadek
97;Melania;Woszczak
98;Apolonia;Pyszny
99;Paweł;Zinkiewicz
100;Sara;Durczok
101;Piotr;Kapciak
102;Justyna;Kacperek
103;Elżbieta;Mijas
104;Anita;Gill
105;Nela;Szlachcic
106;Tomasz;Karpiel
107;Sylwia;Kraszkiewicz
108;Janina;Pawełko
109;Olga;Gomuła
110;Bianka;Fraszczyk
111;Kornel;Pachołek
112;Antoni;Kolanko
113;Filip;Dylik
114;Liwia;Miechowicz
115;Apolonia;Wesoły
116;Elżbieta;Muskała
117;Maurycy;Majorek
118;Maksymilian;Pera
119;Błażej;Hetmańczyk
120;Olgierd;Gotfryd
121;Kamila;Smyl
122;Igor;Glanc
123;Olgierd;Rudyk
124;Paweł;Pyszczek
125;Bianka;Baś
126;Ksawery;Ważny
127;Borys;Duczmal
128;Witold;Szałas
129;Cezary;Bazydło
130;Sylwia;Kabala
131;Malwina;Szymajda
132;Wojciech;Minta
133;Elżbieta;Patyna
134;Ida;Piejko
135;Iwo;Stanuch
136;Emil;Glica
137;Cyprian;Turczyk
138;Jeremi;Kiełbus
139;Arkadiusz;Krzyszczak
140;Radosław;Łapaj
141;Alex;Rosada
142;Dorota;Gumienny
143;Anita;Gabryszak
144;Bianka;Twardy
145;Nela;Korkosz
146;Dariusz;Bajko
147;Adrianna;Fryś
148;Klara;Szymocha
149;Róża;Doktór
150;Wiktor;Wziątek
151;Natasza;Rejek
152;Ignacy;Pesta
153;Damian;Malka
154;Krzysztof;Buk
155;Nela;Łuszczyk
156;Jan;Dziewit
157;Sara;Rakus
158;Klara;Wojaczek
159;Dawid;Gryka
160;Borys;Fedak
161;Jeremi;Majnusz
162;Krystian;Danilczuk
163;Ewa;Misiuk
164;Róża;Skrobek
165;Tymon;Wojnicz
166;Sonia;Chuchla
167;Sara;Zwara
168;Aleksander;Kocurek
169;Blanka;Kolka
170;Fabian;Jędrusiak
171;Adam;Chwedczuk
172;Urszula;Pakosz
173;Kaja;Goss
174;Ignacy;Szpyrka
175;Oliwier;Zach
176;Janina;Kozdra
177;Arkadiusz;Ceynowa
178;Nicole;Łodej
179;Aurelia;Garczyk
180;Patryk;Gęca
181;Marcelina;Grabara
182;Anastazja;Obuchowicz
183;Andrzej;Tołoczko
184;Kazimierz;Taczała
185;Janina;Dobroń
186;Konrad;Falba
187;Krzysztof;Dąbkiewicz
188;Mateusz;Zawodnik
189;Sara;Pezda
190;Agnieszka;Bielas
191;Dariusz;Bujas
192;Nicole;Trybuś
193;Malwina;Hewelt
194;Aniela;Dykas
195;Sebastian;Wasiewicz
196;Mieszko;Irzyk
197;Łukasz;Kut
198;Natasza;Pytko
199;Tola;Giersz
200;Urszula;Krochmal
201;Gabriel;Dybka
202;Fryderyk;Machul
203;Szymon;Kolanko
204;Krzysztof;Klejna
205;Bianka;Kubina
206;Leonard;Kujawiak
207;Leonard;Bartman
208;Klara;Bembenek
209;Sylwia;Kołton
210;Anita;Wieja
211;Stefan;Kusik
212;Kornelia;Piersa
213;Nicole;Drobny
214;Piotr;Masiak
215;Lidia;Lipowicz
216;Sylwia;Nabiałek
217;Andrzej;Łepek
218;Liwia;Pyza
219;Michał;Pudełek
220;Jerzy;Borkiewicz
221;Borys;Bulak
222;Lidia;Mandrysz
223;Aleks;Drewicz
224;Nicole;Tadych
225;Tymon;Widuch
226;Kacper;Ciesielka
227;Kaja;Jonik
228;Marianna;Pudełek
229;Karina;Bittner
230;Cezary;Janiszek
231;Tymon;Józefczak
232;Aniela;Mitera
233;Konstanty;Broncel
234;Anita;Chomik
235;Kaja;Polaszek
236;Emil;Indyk
237;Justyna;Gasz
238;Marcin;Dej
239;Leon;Fac
240;Fryderyk;Kozdroń
241;Kornelia;Leszcz
242;Apolonia;Nehring
243;Nicole;Żuchowicz
244;Anastazja;Bilik
245;Justyna;Muniak
246;Kalina;Ledzion
247;Fabian;Ciochoń
248;Gaja;Bulanda
249;Róża;Karpik
250;Eryk;Kobel
251;Gabriel;Wichary
252;Rozalia;Kozień
253;Aurelia;Obst
254;Karol;Pogorzelec
255;Ewa;Duszczak
256;Wojciech;Pryszcz
257;Dagmara;Żach
258;Ewa;Duszkiewicz
259;Olga;Portka
260;Grzegorz;Gołota
261;Ksawery;Wojtyna
262;Sebastian;Kwoka
263;Adrianna;Basaj
264;Tadeusz;Słoka
265;Tola;Świadek
266;Iwo;Witoń
267;Karina;Prokopczuk
268;Ewelina;Sobków
269;Lidia;Witka
270;Blanka;Kursa
271;Oliwier;Kapałka
272;Franciszek;Jasina
273;Mieszko;Szkaradek
274;Julita;Brachaczek
275;Nicole;Fal
276;Anna Maria;Górkiewicz
277;Filip;Kurcz
278;Julita;Witka
279;Fryderyk;Tutka
280;Kaja;Engel
281;Adrianna;Sopata
282;Mateusz;Nikel
283;Natan;Bernatowicz
284;Hubert;Tylus
285;Józef;Frydel
286;Artur;Pracz
287;Malwina;Knych
288;Tymoteusz;Makar
289;Damian;Bartocha
290;Maksymilian;Bobko
291;Lidia;Kieloch
292;Kamila;Dziełak
293;Kalina;Żyrek
294;Józef;Wieja
295;Emil;Leśna
296;Bianka;Gierek
297;Jerzy;Neska
298;Juliusz;Szkatuła
299;Grzegorz;Kolonko
300;Marika;Krata
301;Witold;Rduch
302;Karina;Pawlukiewicz
303;Róża;Pociask
304;Blanka;Omiotek
305;Julita;Styrna
306;Olga;Galica
307;Tola;Gołoś
308;Gaja;Gierak
309;Aurelia;Rasała
310;Kacper;Mikłaszewicz
311;Przemysław;Korta
312;Ernest;Zyzik
313;Tymon;Wawryniuk
314;Roksana;Przewoźny
315;Leon;Nojek
316;Paweł;Zera
317;Janina;Kozieja
318;Anita;Tułacz
319;Emil;Kuropatwa
320;Borys;Sapa
321;Iwo;Wawszczyk
322;Melania;Kulma
323;Przemysław;Woroch
324;Norbert;Dyczko
325;Gustaw;Duchnik
326;Marcel;Pakos
327;Maurycy;Franik
328;Juliusz;Sondej
329;Adrian;Kononowicz
330;Karina;Kuziora
331;Błażej;Kożuszek
332;Maksymilian;Oślizło
333;Albert;Szałaj
334;Sylwia;Ochwat
335;Olga;Cieloch
336;Michał;Kołtuniak
337;Krystyna;Łaszcz
338;Roksana;Skonieczka
339;Gustaw;Waniek
340;Krzysztof;Byzdra
341;Ryszard;Kołata
342;Nicole;Świtaj
343;Marek;Dąbroś
344;Apolonia;Taczała
345;Krystyna;Rycerz
346;Aurelia;Kosałka
347;Adrianna;Fulara
348;Róża;Kondej
349;Dorota;Mudlaff
350;Blanka;Wochnik
351;Leonard;Franas
352;Agnieszka;Chruszcz
353;Grzegorz;Stępak
354;Michał;Korek
355;Melania;Jezior
356;Natan;Matyka
357;Kalina;Hudzik
358;Błażej;Staręga
359;Olga;Magier
360;Tola;Huszcza
361;Blanka;Deryło
362;Albert;Pędzik
363;Urszula;Bartel
364;Alex;Hewelt
365;Franciszek;Komisarczyk
366;Ida;Fraszczyk
367;Adrian;Mikosz
368;Miłosz;Cisoń
369;Anita;Sudnik
370;Anna Maria;Polakiewicz
371;Damian;Powązka
372;Kazimierz;Skałka
373;Monika;Żołna
374;Kalina;Nalazek
375;Jeremi;Macioł
376;Dagmara;Dycha
377;Eryk;Płoskonka
378;Kornelia;Bondaruk
379;Olga;Ciećko
380;Dawid;Małycha
381;Marcelina;Cieloch
382;Anita;Mitera
383;Blanka;Habdas
384;Kornelia;Maciejko
385;Kazimierz;Kowalak
386;Ernest;Sady
387;Nataniel;Jonak
388;Jan;Fogt
389;Artur;Golan
390;Olga;Lesisz
391;Róża;Rurka
392;Blanka;Doktor
393;Maks;Makaruk
394;Aniela;Łuczka
395;Nikodem;Parkitny
396;Kamila;Krzyżostaniak
397;Ernest;Kalka
398;Olaf;Maksym
399;Maurycy;Kinal
400;Kacper;Potoczek
401;Marianna;Frączkiewicz
402;Juliusz;Błażejczak
403;Tobiasz;Petryk
404;Hubert;Madejczyk
405;Szymon;Szmajda
406;Ewelina;Kościołek
407;Bartek;Szczepaniuk
408;Natan;Ścibisz
409;Maksymilian;Kolber
410;Kornelia;Żelasko
411;Maksymilian;Zaguła
412;Nikodem;Gietka
413;Kamila;Kucz
414;Aurelia;Srokosz
415;Aniela;Cudzich
416;Natasza;Szylar
417;Marcelina;Anioła
418;Sonia;Kieca
419;Ada;Szmurło
420;Karina;Wakuła
421;Marika;Drobnik
422;Natan;Kulus
423;Norbert;Dawiec
424;Tola;Ogrodowicz
425;Sylwia;Moskalik
426;Ewelina;Zdonek
427;Justyna;Dzierwa
428;Dagmara;Żołnierczyk
429;Arkadiusz;Szmurło
430;Natan;Gronkiewicz
431;Fabian;Szeja
432;Kazimierz;Bereda
433;Aurelia;Sycz
434;Karina;Lipowicz
435;Natan;Baszak
436;Inga;Wiszowaty
437;Róża;Freitag
438;Mikołaj;Świerszcz
439;Angelika;Fal
440;Sonia;Lesner
441;Antoni;Szulist
442;Bianka;Słobodzian
443;Andrzej;Słupek
444;Gabriel;Cłapa
445;Józef;Lepak
446;Kazimierz;Rezmer
447;Inga;Kielich
448;Ada;Przystupa
449;Klara;Listwan
450;Sara;Wijata
451;Adrianna;Paleń
452;Konrad;Dudała
453;Adam;Pianka
454;Tola;Miszta
455;Sara;Handzel
456;Marika;Strządała
457;Gabriel;Rurarz
458;Marek;Westfal
459;Rozalia;Miotke
460;Ernest;Pleśniak
461;Marika;Bzdęga
462;Bianka;Kokosza
463;Ada;Rut
464;Dominik;Faryna
465;Kazimierz;Kudłacz
466;Blanka;Wereda
467;Elżbieta;Friedrich
468;Tymon;Linka
469;Liwia;Stelmasiak
470;Ada;Różewicz
471;Adrianna;Kononowicz
472;Ida;Minta
473;Kornelia;Fiołek
474;Adrian;Przewoźniak
475;Anna Maria;Przekwas
476;Maciej;Pilarek
477;Bianka;Brodawka
478;Lidia;Kuciak
479;Tobiasz;Martin
480;Apolonia;Tatarczyk
481;Julian;Czupryn
482;Sara;Dytko
483;Karol;Kustosz
484;Maurycy;Gwara
485;Ryszard;Mejer
486;Albert;Banek
487;Andrzej;Kawulok
488;Eliza;Jaszczyszyn
489;Bruno;Wołoszczuk
490;Igor;Nędzi
491;Nataniel;Kazberuk
492;Tymon;Kuchciak
493;Kalina;Janasik
494;Tomasz;Tutka
495;Gabriel;Krzyśków
496;Gabriel;Duczek
497;Iwo;Świątkiewicz
498;Lidia;Podsiedlik
499;Natasza;Molak
500;Przemysław;Mijas
