Numer identyfikacyjny gracza,Imię gracza,Nazwisko gracza,Płeć,Data urodzenia,Data dołączenia,Miasto zamieszkania,Status członkostwa
1,Jędrzej,Hadała,M,1953-05-17,2023-03-17 00:40:42,Marki,Standard
2,Monika,Capała,K,1952-05-23,2022-11-19 17:07:15,Jasło,Standard
3,Kalina,Jędrusiak,K,1984-06-15,2022-10-15 09:16:00,Sochaczew,Gold
4,Robert,Skalik,M,1984-12-27,2022-10-02 09:39:12,Ostrów Mazowiecka,Silver
5,Aleksander,Steckiewicz,M,2006-10-21,2023-08-24 22:04:39,Kalisz,Silver
6,Fabian,Banyś,M,1986-10-02,2023-05-01 00:53:25,Września,VIP
7,Kamil,Wojtasiewicz,M,1971-03-30,2023-03-04 19:14:39,Pszczyna,Gold
8,Cezary,Sadlik,M,1991-06-05,2022-10-30 14:36:25,Rzeszów,Silver
9,Ida,Smalec,K,1997-12-08,2023-04-14 12:27:02,Suwałki,Silver
10,Mateusz,Wojtyna,M,1987-01-31,2023-06-08 05:01:23,Augustów,Silver
11,Sandra,Gabryel,K,1951-01-15,2023-01-08 21:40:24,Elbląg,Silver
12,Sonia,Oczko,K,1994-07-31,2022-04-11 02:55:05,Skierniewice,Silver
13,Patryk,Gotfryd,M,2005-08-14,2022-10-29 22:13:09,Dębica,Silver
14,Julianna,Gorzelańczyk,K,1982-03-25,2022-09-20 12:43:24,Ostrowiec Świętokrzyski,Standard
15,Melania,Halama,K,1958-11-02,2023-11-03 05:05:14,Warszawa,Silver
16,Aniela,Kawala,K,1993-05-25,2022-11-13 05:32:17,Zawiercie,Standard
17,Kornel,Mieloch,M,1966-04-24,2022-02-25 06:00:51,Piła,Silver
18,Gaja,Supeł,K,1990-10-17,2023-12-01 09:02:39,Żyrardów,Standard
19,Anna Maria,Boba,K,1979-09-07,2023-04-12 13:47:30,Mińsk Mazowiecki,Silver
20,Ewa,Mućko,K,1960-09-23,2022-01-09 22:46:53,Cieszyn,Gold
21,Apolonia,Jeżyk,K,1968-03-10,2023-09-23 13:02:57,Jaworzno,Silver
22,Tola,Fechner,K,1979-07-10,2022-02-01 22:48:41,Płock,Standard
23,Julianna,Wocial,K,1963-10-23,2023-10-03 19:30:23,Żyrardów,Silver
